"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"QuestTrader_MENU_TITLE","QUESTS","QUESTS","ÚKOLY","QUESTS","ЗАДАНИЯ","ZADANIA","KÜLDETÉSEK","MISSIONI","MISIONES","QUÊTES","任務","クエスト","QUESTS","任务"
"QuestTrader_MENU_AVAILABLE","AVAILABLE","AVAILABLE","DOSTUPNÉ","VERFÜGBAR","ДОСТУПНО","DOSTĘPNE","ELÉRHETŐ","DISPONIBILI","DISPONIBLES","DISPONIBLES","可用","利用可能","DISPONÍVEIS","可用"
"QuestTrader_MENU_NOW","ACTIVE","ACTIVE","AKTIVNÍ","AKTIV","АКТИВНЫЕ","AKTYWNE","AKTÍV","ATTIVO","ACTIVO","ACTIF","進行中","進行中","ATIVO","进行中"
"QuestTrader_MENU_DONE","DONE","DONE","HOTOVO","ERLEDIGT","ГОТОВО","UKOŃCZONE","KÉSZ","COMPLETATE","COMPLETADAS","TERMINÉES","完成","完了","CONCLUÍDAS","完成"
"QuestTrader_MENU_DESCRIPTION","DESCRIPTION","DESCRIPTION","POPIS","BESCHREIBUNG","ОПИСАНИЕ","OPIS","LEÍRÁS","DESCRIZIONE","DESCRIPCIÓN","DESCRIPTION","描述","説明","DESCRIÇÃO","描述"
"QuestTrader_MENU_OBJECTIVES","OBJECTIVES","OBJECTIVES","CÍLE","ZIELE","ЦЕЛИ","CELE","CÉLOK","OBIETTIVI","OBJETIVOS","OBJECTIFS","目標","目標","OBJETIVOS","目标"
"QuestTrader_MENU_REWARDS","REWARDS","REWARDS","ODMĚNY","BELOHNUNGEN","НАГРАДЫ","NAGRODY","JUTALMAK","RICOMPENSE","RECOMPENSAS","RÉCOMPENSES","獎勵","報酬","RECOMPENSAS","奖励"
"QuestTrader_BUTTON_ACCEPT","ACCEPT","ACCEPT","PŘIJMOUT","ANNEHMEN","ПРИНЯТЬ","AKCEPTUJ","ELFOGAD","ACCETTA","ACEPTAR","ACCEPTER","接受","受諾","ACEITAR","接受"
"QuestTrader_BUTTON_COMPLETE","COMPLETE","COMPLETE","DOKONČIT","ABSCHLIESSEN","ЗАВЕРШИТЬ","UKOŃCZ","BEFEJEZ","COMPLETA","COMPLETAR","TERMINER","完成","完了","CONCLUIR","完成"
"QuestTrader_BUTTON_CANCEL","CANCEL","CANCEL","ZRUŠIT","ABBRECHEN","ОТМЕНА","ANULUJ","MÉGSE","ANNULLA","CANCELAR","ANNULER","取消","キャンセル","CANCELAR","取消"
"QuestTrader_BUTTON_CLOSE","CLOSE","CLOSE","ZAVŘÍT","SCHLIESSEN","ЗАКРЫТЬ","ZAMKNIJ","BEZÁR","CHIUDI","CERRAR","FERMER","關閉","閉じる","FECHAR","关闭"
"QuestTrader_STATE_AVAILABLE","Available","Available","Dostupné","Verfügbar","Доступно","Dostępne","Elérhető","Disponibile","Disponible","Disponible","可用","利用可能","Disponível","可用"
"QuestTrader_STATE_ACTIVE","Active","Active","Aktivní","Aktiv","Активно","Aktywne","Aktív","Attiva","Activa","Active","進行中","進行中","Em andamento","进行中"
"QuestTrader_STATE_READY","Ready to turn in!","Ready to turn in!","Připraveno k odevzdání!","Bereit zur Abgabe!","Готово к сдаче!","Gotowe do oddania!","Leadásra kész!","Pronta per la consegna!","¡Lista para entregar!","Prête à rendre !","準備好回報了！","提出準備完了！","Pronta para entregar!","可以提交了！"
"QuestTrader_STATE_COMPLETED","Completed","Completed","Dokončeno","Abgeschlossen","Завершено","Ukończone","Befejezve","Completata","Completada","Terminée","已完成","完了済み","Concluída","已完成"
"QuestTrader_STATE_COOLDOWN","On cooldown","On cooldown","Čeká na obnovení","In Abklingzeit","На перезарядке","W trakcie odnowienia","Újratöltés alatt","In recupero","En enfriamiento","En recharge","冷卻中","クールダウン中","Em recarga","冷却中"
"QuestTrader_REQUIRES","Requires","Requires","Vyžaduje","Benötigt","Требуется","Wymaga","Szükséges","Richiede","Requiere","Requiert","需要","必要","Requer","需要"
"QuestTrader_AVAILABLE_IN","Available in","Available in","Dostupné za","Verfügbar in","Доступно через","Dostępne za","Elérhető ennyi idő múlva","Disponibile tra","Disponible en","Disponible dans","可用於","利用可能まで","Disponível em","可用时间"
"QuestTrader_OBJECTIVE_COLLECT","Collect","Collect","Sebrat","Sammeln","Собрать","Zbierz","Gyujts","Raccogli","Recoger","Collecter","收集","集める","Coletar","收集"
"QuestTrader_OBJECTIVE_DELIVER","Deliver","Deliver","Doručit","Liefern","Доставить","Dostarcz","Szallits","Consegna","Entregar","Livrer","交付","届ける","Entregar","交付"
"QuestTrader_OBJECTIVE_KILL","Kill","Kill","Zabit","Toeten","Убить","Zabij","Oljs meg","Uccidi","Matar","Tuer","擊殺","倒す","Eliminar","击杀"
"QuestTrader_OBJECTIVE_RECON","Recon","Recon","Pruzkum","Aufklaerung","Разведка","Zwiad","Felderites","Ricognizione","Reconocimiento","Reconnaissance","偵察","偵察","Reconhecer","侦察"
"QuestTrader_QUEST_READY_TURN_IN","Quest ready to turn in","Quest ready to turn in","Ukol pripraven k odevzdani","Quest bereit zur Abgabe","Задание готово к сдаче","Quest gotowy do oddania","Kuldetes leadasra kesz","Missione pronta per la consegna","Mision lista para entregar","Quete prete a rendre","任務可回報","クエスト提出準備完了","Quest pronta para entregar","任务可以提交"
"QuestTrader_TOAST_QUEST_ACCEPTED","Quest accepted:","Quest accepted:","Ukol prijat:","Quest angenommen:","Задание принято:","Quest przyjety:","Kuldetes elfogadva:","Missione accettata:","Mision aceptada:","Quete acceptee :","任務已接受：","クエスト受諾:","Quest aceita:","任务已接受："
"QuestTrader_TOAST_STILL_NEED","Still need","Still need","Stale potreba","Fehlt noch","Еще нужно","Nadal potrzeba","Meg kell","Manca ancora","Aun falta","Il manque encore","仍需要","まだ必要","Ainda falta","仍需要"
"QuestTrader_TOAST_DELIVER_THIS_TO","Deliver this to:","Deliver this to:","Dorucit komu:","Bringe dies zu:","Доставьте это:","Dostarcz do:","Add le neki:","Consegna a:","Entrega esto a:","Livrez ceci a :","交付给：","届け先:","Entregue isto para:","交付给："
"QuestTrader_TOAST_LOST_DELIVERY_ITEM","You lost the delivery item!","You lost the delivery item!","Ztratil jsi predmet k doruceni!","Du hast den Liefergegenstand verloren!","Вы потеряли предмет доставки!","Zgubiles przedmiot dostawy!","Elvesztetted a szallitando targyat!","Hai perso l'oggetto da consegnare!","Perdiste el objeto de entrega!","Vous avez perdu l'objet a livrer !","你丢失了交付物品！","配達アイテムを失いました！","Você perdeu o item de entrega!","你丢失了交付物品！"
